Player,Role,Team,battingStyle,bowlingStyle
Abdul Samad,All-rounder,Sunrisers Hyderabad,Right-handed,Right Arm Off Spin
Abhinav Manohar,Batsman,Gujarat Titans,Right-handed,Leg Break Googly
Abhishek Porel,WK-Batsman,Delhi Capitals,Left-handed,N/A
Abhishek Sharma,All-rounder,Sunrisers Hyderabad,Left-handed,Right Arm Off Spin
Aiden Markram,Batsman,Sunrisers Hyderabad,Right-handed,Right Arm Medium
Ajinkya Rahane,Batsman,Chennai Super Kings,Right-handed,Right Arm Fast Medium
Akash Deep,Bowler,Royal Challengers Bengaluru,Right-handed,Right Arm Fast Medium
Akash Madhwal,Bowler, Mumbai Indians,Right-handed,Right Arm Fast
Alzarri Joseph,Bowler,Royal Challengers Bengaluru,Right-handed,Right Arm Leg Spin
Amit Mishra,Bowler,Lucknow Super Giants,Right-handed,Right Arm Fast Medium
Andre Russell,All-rounder,Kolkata Knight Riders,Right-handed,Right Arm Fast
Angkrish Raghuvanshi,Batsman,Kolkata Knight Riders,Right-handed,Slow Left Arm Orthodox
Anmolpreet Singh,Batsman,Sunrisers Hyderabad,Right-handed,Right Arm Fast
Anrich Nortje,Bowler,Delhi Capitals,Right-handed,Right Arm Fast Medium
Anshul Kamboj,All-rounder, Mumbai Indians,Left-handed,Right Arm Medium
Anuj Rawat,WK-Batsman,Royal Challengers Bengaluru,Left-handed,Left Arm Orthodox Spin
Anukul Roy,All-rounder,Kolkata Knight Riders,Left-handed,Right Arm Medium Fast
Arjun Tendulkar,All-rounder, Mumbai Indians,Left-handed,Right Arm Medium Fast
Arshad Khan,All-rounder,Lucknow Super Giants,Left-handed,Left Arm Fast Medium
Arshdeep Singh,Bowler,Punjab Kings,Left-handed,Left Arm Orthodox Spin
Arshin Kulkarni,All-rounder,Lucknow Super Giants,Left-handed,Right Arm Leg Spin
Ashton Turner,Batsman,Lucknow Super Giants,Right-handed,Right Arm Medium Fast
Ashutosh Sharma,All-rounder,Punjab Kings,Right-handed,N/A
Atharva Taide,All-rounder,Punjab Kings,Right-handed,Right Arm Fast Medium
Avesh Khan,Bowler,Rajasthan Royals,Right-handed,Left Arm Orthodox Spin
Axar Patel,All-rounder,Delhi Capitals,Left-handed,Slow Left Arm Orthodox
Ayush Badoni,All-rounder,Lucknow Super Giants,Right-handed,Right Arm Medium Fast
Azmatullah Omarzai,All-rounder,Gujarat Titans,Right-handed,Right Arm Off Spin
B R Sharath,WK-Batsman,Gujarat Titans,Left-handed,Right Arm Fast Medium
Bhuvneshwar Kumar,Bowler,Sunrisers Hyderabad,Right-handed,Right Arm Fast Medium
Cameron Green,All-rounder,Royal Challengers Bengaluru,Right-handed,Left Arm Medium Fast
Darshan Nalkande,Bowler,Gujarat Titans,Left-handed,Right Arm Medium Fast
Daryl Mitchell,All-rounder,Chennai Super Kings,Right-handed,Right Arm Medium
David Miller,Batsman,Gujarat Titans,Left-handed,Right Arm Off Break
David Warner,Batsman,Delhi Capitals,Left-handed,Right Arm Medium Fast
Deepak Chahar,Bowler,Chennai Super Kings,Right-handed,Right Arm Off Spin
Deepak Hooda,All-rounder,Lucknow Super Giants,Right-handed,Right Arm Off Break
Devdutt Padikkal,Batsman,Lucknow Super Giants,Left-handed,Right Arm Off Break
Dewald Brevis,Batsman, Mumbai Indians,Right-handed,Right  Arm Leg Break
Dhruv Jurel,WK-Batsman,Rajasthan Royals,Right-handed,N/A
Dinesh Karthik,WK-Batsman,Royal Challengers Bengaluru,Right-handed,Right Arm Medium Fast
Donovan Ferreira,WK-Batsman,Rajasthan Royals,Right-handed,Right Arm Fast
Dushmantha Chameera,Bowler,Kolkata Knight Riders,Right-handed,Right Arm Fast
Faf du Plessis,Batsman,Royal Challengers Bengaluru,Right-handed,Right Arm Fast
Gerald Coetzee,All-rounder, Mumbai Indians,Right-handed,Right Arm Off Spin
Glenn Maxwell,All-rounder,Royal Challengers Bengaluru,Left-handed,Right Arm Medium Fast
Gulbadin Naib,All-rounder,Delhi Capitals,Right-handed,Right Arm Fast Medium
Hardik Pandya,All-rounder, Mumbai Indians,Right-handed,Left Arm Orthodox Spin
Harpreet Brar,Bowler,Punjab Kings,Left-handed,Right Arm Medium Fast
Harpreet Singh,Batsman,Punjab Kings,Left-handed,Right Arm Medium Fast
Harshal Patel,All-rounder,Punjab Kings,Right-handed,Right Arm Fast Medium
Harshit Rana,Bowler,Kolkata Knight Riders,Left-handed,Right Arm Fast
Heinrich Klaasen,WK-Batsman,Sunrisers Hyderabad,Right-handed,Right Arm Off Break
Himanshu Sharma,Bowler,Royal Challengers Bengaluru,Right-handed,Right  Arm Leg Break
Ishan Kishan,WK-Batsman, Mumbai Indians,Left-handed,Right Arm Fast
Ishant Sharma,Bowler,Delhi Capitals,Right-handed,Right Arm Leg Spin
Jake Fraser-McGurk,All-rounder,Delhi Capitals,Right-handed,Right Arm Fast
Jasprit Bumrah,Bowler, Mumbai Indians,Right-handed,Left Arm Fast Medium
Jaydev Unadkat,Bowler,Sunrisers Hyderabad,Left-handed,Right Arm Fast
Jhye Richardson,Bowler,Delhi Capitals,Right-handed,Right Arm Fast
Jitesh Sharma,WK-Batsman,Punjab Kings,Right-handed,N/A
Jonny Bairstow,WK-Batsman,Punjab Kings,Right-handed,Right Arm Medium
Jos Buttler,WK-Batsman,Rajasthan Royals,Right-handed,Left Arm Medium Fast
Joshua Little,Bowler,Gujarat Titans,Left-handed,Right Arm Fast
Kagiso Rabada,Bowler,Punjab Kings,Right-handed,Right Arm Fast
Kane Williamson,Batsman,Gujarat Titans,Right-handed,Right Arm Leg Spin
Karn Sharma,Bowler,Royal Challengers Bengaluru,Left-handed,Right Arm Fast Medium
Kartik Tyagi,Bowler,Gujarat Titans,Right-handed,Left Arm Orthodox Spin
Keshav Maharaj,Bowler,Rajasthan Royals,Left-handed,Left Arm Medium Fast
Khaleel Ahmed,Bowler,Delhi Capitals,Left-handed,Left Arm Fast Medium
KL Rahul,WK-Batsman,Lucknow Super Giants,Right-handed,Left Arm Orthodox Spin
Krishnappa Gowtham,All-rounder,Lucknow Super Giants,Left-handed,Left Arm Orthodox Spin
Krunal Pandya,All-rounder,Lucknow Super Giants,Left-handed,Right Arm Fast Medium
Kuldeep Sen,Bowler,Rajasthan Royals,Right-handed,Left Arm Wrist Spin
Kuldeep Yadav,Bowler,Delhi Capitals,Left-handed,Left Arm Wrist Spin
Kumar Kushagra ,WK-Batsman,Delhi Capitals,Right-handed,Right Arm Medium Fast
Kwena Maphaka,Bowler, Mumbai Indians,Right-handed,Right Arm Off Spin
Lalit Yadav,All-rounder,Delhi Capitals,Right-handed,Right Arm Leg Spin
Liam Livingstone,All-rounder,Punjab Kings,Right-handed,Right Arm Fast
Lizaad Williams,Bowler,Delhi Capitals,Right-handed,Right Arm Fast
Lockie Ferguson,Bowler,Royal Challengers Bengaluru,Right-handed,Left Arm Fast Medium
Luke Wood,Bowler, Mumbai Indians,Left-handed,Right Arm Off Break
M Shahrukh Khan ,Batsman,Gujarat Titans,Right-handed,Right Arm Off Spin
Maheesh Theekshana,Bowler,Chennai Super Kings,Right-handed,Right Arm Off Spin
Mahipal Lomror,All-rounder,Royal Challengers Bengaluru,Left-handed,Right Arm Fast Medium
Manav Suthar,Bowler,Gujarat Titans,Left-handed,Left Arm Orthodox Spin
Manimaran Siddharth,Bowler,Lucknow Super Giants,Right-handed,Slow Left Arm Orthodox
Manish Pandey,Batsman,Kolkata Knight Riders,Right-handed,Right Arm Fast Medium
Marco Jansen,All-rounder,Sunrisers Hyderabad,Left-handed,Right Arm Fast Medium
Marcus Stoinis,All-rounder,Lucknow Super Giants,Right-handed,Right Arm Fast
