Match,TeamInnings,BattingPosition,BatsmanName,Runs,Balls,4s,6s,StrikeRate,Out/Not Out,Matchid
KKR vs SRH,SRH,8,Abdul Samad,4,4,0,0,100,Out,IPL24 #71
RR vs SRH,SRH,7,Abdul Samad,0,1,0,0,0,Out,IPL24 #70
KKR vs SRH,SRH,7,Abdul Samad,16,12,0,2,133.33,Out,IPL24 #68
SRH vs Punjab Kings,SRH,7,Abdul Samad,11,8,0,1,137.5,Not-Out,IPL24 #67
MI vs SRH,SRH,8,Abdul Samad,3,4,0,0,75,Out,IPL24 #55
CSK vs SRH,SRH,7,Abdul Samad,19,18,1,1,105.55,Out,IPL24 #46
SRH vs RCB,SRH,7,Abdul Samad,10,6,0,1,166.66,Out,IPL24 #41
DC vs SRH,SRH,7,Abdul Samad,13,8,1,1,162.5,Out,IPL24 #35
RCB vs SRH,SRH,5,Abdul Samad,37,10,4,3,370,Not-Out,IPL24 #30
Punjab Kings vs SRH,SRH,7,Abdul Samad,25,12,5,0,208.33,Not-Out,IPL24 #23
GT vs SRH,SRH,8,Abdul Samad,29,14,3,1,207.14,Out,IPL24 #12
KKR vs SRH,SRH,6,Abdul Samad,15,11,1,1,136.36,Out,IPL24 #3
GT vs DC,GT,5,Abhinav Manohar,8,14,1,0,57.14,Out,IPL24 #32
RR vs GT,GT,4,Abhinav Manohar,1,2,0,0,50,Out,IPL24 #24
KKR vs SRH,SRH,1,Abhishek Sharma,2,5,0,0,40,Out,IPL24 #71
RR vs SRH,SRH,2,Abhishek Sharma,12,5,1,1,240,Out,IPL24 #70
KKR vs SRH,SRH,2,Abhishek Sharma,3,4,0,0,75,Out,IPL24 #68
SRH vs Punjab Kings,SRH,2,Abhishek Sharma,66,28,5,6,235.71,Out,IPL24 #67
SRH vs LSG,SRH,1,Abhishek Sharma,75,28,8,6,267.85,Not-Out,IPL24 #57
MI vs SRH,SRH,2,Abhishek Sharma,11,16,0,1,68.75,Out,IPL24 #55
SRH vs RR,SRH,2,Abhishek Sharma,12,10,0,1,120,Out,IPL24 #50
CSK vs SRH,SRH,2,Abhishek Sharma,15,9,1,1,166.66,Out,IPL24 #46
SRH vs RCB,SRH,1,Abhishek Sharma,31,13,3,2,238.46,Out,IPL24 #41
DC vs SRH,SRH,2,Abhishek Sharma,46,12,2,6,383.33,Out,IPL24 #35
RCB vs SRH,SRH,1,Abhishek Sharma,34,22,2,2,154.54,Out,IPL24 #30
Punjab Kings vs SRH,SRH,2,Abhishek Sharma,16,11,2,1,145.45,Out,IPL24 #23
SRH vs CSK,SRH,2,Abhishek Sharma,37,12,3,4,308.33,Out,IPL24 #18
GT vs SRH,SRH,3,Abhishek Sharma,29,20,2,2,145,Out,IPL24 #12
SRH vs MI,SRH,3,Abhishek Sharma,63,23,3,7,273.91,Out,IPL24 #8
KKR vs SRH,SRH,2,Abhishek Sharma,32,19,4,2,168.42,Out,IPL24 #3
DC vs LSG,DC,2,Abhishek Porel,58,33,5,4,175.75,Out,IPL24 #63
RCB vs DC,DC,3,Abhishek Porel,2,3,0,0,66.66,Out,IPL24 #62
DC vs RR,DC,2,Abhishek Porel,65,36,7,3,180.55,Out,IPL24 #56
KKR vs DC,DC,3,Abhishek Porel,18,15,2,1,120,Out,IPL24 #47
DC vs MI,DC,2,Abhishek Porel,36,27,3,1,133.33,Out,IPL24 #43
DC vs SRH,DC,4,Abhishek Porel,42,22,7,1,190.9,Out,IPL24 #35
GT vs DC,DC,3,Abhishek Porel,15,7,2,1,214.28,Out,IPL24 #32
MI vs DC,DC,3,Abhishek Porel,41,31,5,0,132.25,Out,IPL24 #20
DC vs KKR,DC,4,Abhishek Porel,0,5,0,0,0,Out,IPL24 #16
DC vs CSK,DC,7,Abhishek Porel,9,6,1,0,150,Not-Out,IPL24 #13
RR vs DC,DC,6,Abhishek Porel,9,10,0,0,90,Out,IPL24 #9
Punjab Kings vs DC,DC,9,Abhishek Porel,32,10,4,2,320,Not-Out,IPL24 #2
KKR vs SRH,SRH,4,Aiden Markram,20,23,3,0,86.95,Out,IPL24 #71
RR vs SRH,SRH,4,Aiden Markram,1,2,0,0,50,Out,IPL24 #70
CSK vs SRH,SRH,4,Aiden Markram,32,26,4,0,123.07,Out,IPL24 #46
SRH vs RCB,SRH,3,Aiden Markram,7,8,1,0,87.5,Out,IPL24 #41
DC vs SRH,SRH,3,Aiden Markram,1,3,0,0,33.33,Out,IPL24 #35
RCB vs SRH,SRH,4,Aiden Markram,32,17,2,2,188.23,Not-Out,IPL24 #30
Punjab Kings vs SRH,SRH,3,Aiden Markram,0,2,0,0,0,Out,IPL24 #23
SRH vs CSK,SRH,3,Aiden Markram,50,36,4,1,138.88,Out,IPL24 #18
GT vs SRH,SRH,4,Aiden Markram,17,19,0,0,89.47,Out,IPL24 #12
SRH vs MI,SRH,4,Aiden Markram,42,28,2,1,150,Not-Out,IPL24 #8
KKR vs SRH,SRH,4,Aiden Markram,18,13,2,0,138.46,Out,IPL24 #3
RCB vs CSK,CSK,4,Ajinkya Rahane,33,22,3,1,150,Out,IPL24 #66
GT vs CSK,CSK,1,Ajinkya Rahane,1,5,0,0,20,Out,IPL24 #59
Punjab Kings vs CSK,CSK,1,Ajinkya Rahane,9,7,1,0,128.57,Out,IPL24 #53
CSK vs Punjab Kings,CSK,1,Ajinkya Rahane,29,24,5,0,120.83,Out,IPL24 #49
CSK vs SRH,CSk,1,Ajinkya Rahane,9,12,1,0,75,Out,IPL24 #46
CSK vs LSG,CSk,1,Ajinkya Rahane,1,3,0,0,33.33,Out,IPL24 #39
