match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
RR vs SRH,SRH,Abhishek Sharma,4,0,24,2,6,8,2,0,0,0,IPL24 #70
SRH vs RCB,SRH,Abhishek Sharma,1,0,10,0,10,0,1,0,0,0,IPL24 #41
RCB vs SRH,SRH,Abhishek Sharma,1,0,10,0,10,2,2,0,0,0,IPL24 #30
SRH vs CSK,SRH,Abhishek Sharma,1,0,7,0,7,2,1,0,0,0,IPL24 #18
KKR vs SRH,SRH,Aiden Markram,1,0,5,0,5,2,0,0,0,0,IPL24 #71
RR vs SRH,SRH,Aiden Markram,1,0,10,0,10,2,0,1,0,1,IPL24 #70
MI vs RCB,RCB,Akash Deep,3.3,0,55,1,15.71,6,2,6,2,0,IPL24 #25
Punjab Kings vs MI,MI,Akash Madhwal,3.1,0,46,1,14.52,7,2,4,4,1,IPL24 #33
MI vs CSK,MI,Akash Madhwal,3,0,37,0,12.33,4,4,2,0,0,IPL24 #29
MI vs RCB,MI,Akash Madhwal,4,0,57,1,14.25,7,9,2,3,0,IPL24 #25
MI vs DC,MI,Akash Madhwal,4,0,45,0,11.25,9,7,1,0,1,IPL24 #20
MI vs RR,MI,Akash Madhwal,4,0,20,3,5,9,1,0,1,0,IPL24 #14
RCB vs KKR,RCB,Alzarri Joseph,2,0,34,0,17,5,2,4,0,0,IPL24 #10
RCB vs Punjab Kings,RCB,Alzarri Joseph,4,0,43,1,10.75,8,4,2,2,0,IPL24 #6
CSK vs RCB,RCB,Alzarri Joseph,3.4,0,38,0,10.36,5,1,2,4,0,IPL24 #1
LSG vs RR,LSG,Amit Mishra,2,0,20,1,10,5,1,2,0,0,IPL24 #44
KKR vs SRH,KKR,Andre Russell,2.3,0,19,3,7.6,7,1,1,1,0,IPL24 #71
KKR vs SRH,KKR,Andre Russell,1.3,0,15,1,10,2,2,0,0,0,IPL24 #68
KKr vs MI,KKR,Andre Russell,3,0,34,2,11.33,5,3,2,2,0,IPL24 #60
LSG vs KKR,KKR,Andre Russell,2,0,17,2,8.5,4,0,1,3,0,IPL24 #54
MI vs KKR,KKR,Andre Russell,4,0,30,2,7.5,11,1,2,1,0,IPL24 #51
KKR vs DC,KKR,Andre Russell,1,0,10,0,10,3,2,0,0,0,IPL24 #47
KKR vs Punjab Kings,KKR,Andre Russell,2,0,36,0,18,2,1,4,2,0,IPL24 #42
KKR vs RCB,KKR,Andre Russell,3,0,25,3,8.33,10,3,1,1,0,IPL24 #36
KKR vs RR,KKR,Andre Russell,1,0,17,0,17,0,0,2,0,0,IPL24 #31
KKR vs LSG,KKR,Andre Russell,1,0,16,1,16,2,2,1,0,0,IPL24 #28
CSK vs KKR,KKR,Andre Russell,1,0,8,0,8,2,1,0,1,0,IPL24 #22
DC vs KKR,KKR,Andre Russell,1.2,0,14,1,10.5,4,0,2,0,0,IPL24 #16
RCB vs KKR,KKR,Andre Russell,4,0,29,2,7.25,12,0,3,1,0,IPL24 #10
KKR vs SRH,KKR,Andre Russell,2,0,25,2,12.5,4,4,1,0,0,IPL24 #3
DC vs GT,DC,Anrich Nortje,3,0,48,1,16,6,5,4,0,0,IPL24 #40
DC vs SRH,DC,Anrich Nortje,3,0,31,0,10.33,6,4,1,1,0,IPL24 #35
MI vs DC,DC,Anrich Nortje,4,0,65,2,16.25,7,4,6,3,1,IPL24 #20
DC vs KKR,DC,Anrich Nortje,4,0,59,3,14.75,6,5,4,2,0,IPL24 #16
DC vs CSK,DC,Anrich Nortje,4,0,43,0,10.75,7,3,3,1,0,IPL24 #13
RR vs DC,DC,Anrich Nortje,4,0,48,1,12,8,4,4,0,0,IPL24 #9
